No,"企業名称","届出書受付開始日","提携先名称"
63,"富士シティオ株式会社","2014/10/20","提携先：富士シティオ，デリド，フルハウス"
64,"株式会社スリーエフ","2014/10/20","提携先：スリーエフ"
65,"ブリジストンスポーツ株式会社","2014/10/20","提携先：テニスボール（NX1）,ゴルフボール（V10）,ゴルフグローブ（GLTX32・33　など"
66,"日立コンシューマ・マーティング株式会社","2014/10/20","提携先：日立チェーンストール"
67,"株式会社ホテルロッテ","2014/10/20","提携先：ロッテ免税店"
68,"シャディ株式会社","2014/10/20","提携先：シャディサラダ館"
69,"ボシュロム・ジャパン株式会社","2014/10/20","提携先：レニュー"
70,"凸版印刷株式会社","2014/10/20","提携先：Shufoo!"
71,"ＡＡＥ　Ｊａｐａｎ株式会社","2014/10/20","提携先：エクスペディア"
72,"株式会社サイバーエージェント","2014/10/20","提携先：Ameba"
73,"アットホーム株式会社","2014/10/20","提携先：アットホーム"
74,"東芝ライフスタイル株式会社","2014/10/20","提携先：レグザクラウドサービス「TimeOn（タイムオン）」"
75,"株式会社ディスコ","2014/10/20","提携先：キャリタス転職"
76,"しまうまプリントシステム株式会社","2014/10/20","グループ会社：T-PRINT"
77,"株式会社T-MEDIAホールディングス","2014/10/20","グループ会社：TSUTAYAオンラインショッピング，TSUTAYA DISCAS，TSUTAYA TVなど"
78,"株式会社Ｔトラベル","2014/10/20","グループ会社：Tトラベル"
79,"株式会社復刊ドットコム","2014/10/20","グループ会社：復刊ドットコム"
80,"株式会社Tポイント・ジャパン","2014/10/20","グループ会社：ポイントプログラム"
81,"株式会社Tマネー","2014/10/20","グループ会社：Tマネー"
